Name,link,tnx_link,Contract
Tether USD (USDT),https://optimistic.etherscan.io/token/0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,https://optimistic.etherscan.io/address/0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58
USD Coin (USDC),https://optimistic.etherscan.io/token/0x7f5c764cbc14f9669b88837ca1490cca17c31607,https://optimistic.etherscan.io/address/0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x7F5c764cBc14f9669B88837ca1490cCa17c31607
ChainLink Token (LINK),https://optimistic.etherscan.io/token/0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,https://optimistic.etherscan.io/address/0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6
Wrapped BTC (WBTC),https://optimistic.etherscan.io/token/0x68f180fcce6836688e9084f035309e29bf0a2095,https://optimistic.etherscan.io/address/0x68f180fcce6836688e9084f035309e29bf0a2095,0x68f180fcCe6836688e9084f035309E29Bf0A2095
Dai Stablecoin (DAI),https://optimistic.etherscan.io/token/0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,https://optimistic.etherscan.io/address/0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1
Synthetix Network Token (SNX),https://optimistic.etherscan.io/token/0x8700daec35af8ff88c16bdf0418774cb3d7599b4,https://optimistic.etherscan.io/address/0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4
Synth sETH (sETH),https://optimistic.etherscan.io/token/0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,https://optimistic.etherscan.io/address/0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,0xE405de8F52ba7559f9df3C368500B6E6ae6Cee49
Synth sUSD (sUSD),https://optimistic.etherscan.io/token/0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,https://optimistic.etherscan.io/address/0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9
Synth sBTC (sBTC),https://optimistic.etherscan.io/token/0x298b9b95708152ff6968aafd889c6586e9169f1d,https://optimistic.etherscan.io/address/0x298b9b95708152ff6968aafd889c6586e9169f1d,0x298B9B95708152ff6968aafd889c6586e9169f1D
Rari Governance Token (RGT),https://optimistic.etherscan.io/token/0xb548f63d4405466b36c0c0ac3318a22fdcec711a,https://optimistic.etherscan.io/address/0xb548f63d4405466b36c0c0ac3318a22fdcec711a,0xB548f63D4405466B36C0c0aC3318a22fDcec711a
Synth sLINK (sLINK),https://optimistic.etherscan.io/token/0xc5db22719a06418028a40a9b5e9a7c02959d0d08,https://optimistic.etherscan.io/address/0xc5db22719a06418028a40a9b5e9a7c02959d0d08,0xc5Db22719A06418028A40A9B5E9A7c02959D0d08
